Package,City,Place Tourism1,Place Tourism2,Place Tourism3,Place Tourism4,Place Tourism5,Place Tourism6,Place Tourism7,Place Tourism8
7697,Bandung,Kota Mini,Curug Luhur Waterfall,Museum Geologi Bandung,Curug Malela,Kampung Korea Bandung,Curug Malela,Kampung Korea Bandung,Kampung Korea Bandung
7698,Jakarta,Pulau Tidung,Museum Sumpah Pemuda,Bumi Perkemahan Cibubur,Museum Layang-layang,Museum Layang-layang,Museum Layang-layang,Museum Layang-layang,Museum Layang-layang
7699,Jakarta,Museum Satria Mandala,Hutan Kota Srengseng,Mall Thamrin City,Museum Sumpah Pemuda,Gereja Katedral,Museum Sumpah Pemuda,Gereja Katedral,Gereja Katedral
7700,Bandung,Saung Angklung Mang Udjo,Museum Pendidikan Nasional,Water Park Bandung Indah,Kota Mini,Taman Miniatur Kereta Api,Kota Mini,Taman Miniatur Kereta Api,Taman Miniatur Kereta Api
7701,Jakarta,Tugu Proklamasi,Museum Nasional,Freedom Library,Pulau Pari,,Pulau Pari,,
7702,Surabaya,Taman Keputran,Taman Prestasi,Surabaya North Quay,Kebun Bibit Wonorejo,,Kebun Bibit Wonorejo,,
7703,Yogyakarta,Pantai Nglambor,Pantai Wediombo,Bukit Paralayang,,,,,
7704,Semarang,Watu Gunung Ungaran, Pantai Cipta,Taman Srigunting, Pantai Cipta,Museum Kereta Ambarawa, Pantai Cipta,Museum Kereta Ambarawa,Museum Kereta Ambarawa
7705,Surabaya,Kebun Bibit Wonorejo,Taman Kunang-Kunang,Taman Ekspresi Dan Perpustakaan,Hutan Bambu Keputih,,Hutan Bambu Keputih,,
7706,Surabaya,Taman Keputran,Klenteng Sanggar Agung,Monumen Bambu Runcing Surabaya,Patung Sura dan Buaya,,Patung Sura dan Buaya,,
7707,Surabaya,Ekowisata Mangrove Wonorejo,Ciputra Waterpark,Masjid Muhammad Cheng Hoo,Taman Kunang-Kunang,,Taman Kunang-Kunang,,
7708,Jakarta,Taman Lapangan Banteng,Pulau Bidadari,Tugu Proklamasi,Klenteng Jin De Yuan,Tugu Proklamasi,Klenteng Jin De Yuan,Tugu Proklamasi,Tugu Proklamasi
7709,Surabaya,Waterpark Kenjeran Surabaya,Monumen Bambu Runcing Surabaya,Ciputra Waterpark,Monumen Jalesveva Jayamahe,,Monumen Jalesveva Jayamahe,,
7710,Surabaya,Monumen Kapal Selam,Balai Kota Surabaya,Monumen Kapal Selam,Taman Keputran,,Taman Keputran,,
7711,Jakarta,Museum Perangko,Grand Indonesia Mall,Jembatan Kota Intan,Taman Agrowisata Cilangkap,,Taman Agrowisata Cilangkap,,
7712,Surabaya,Museum Kesehatan Dr. Adhyatma,Kenjeran Park,Taman Mundu,Kebun Bibit Wonorejo,,Kebun Bibit Wonorejo,,
7713,Bandung,Taman Hutan Raya Ir. H. Djuanda,Kebun Tanaman Obat Sari Alam,Kawah Putih,Lembang Park & Zoo,Teras Cikapundung BBWS,Lembang Park & Zoo,Teras Cikapundung BBWS,Teras Cikapundung BBWS
7714,Semarang,Obyek Wisata Goa Kreo,Old City 3D Trick Art Museum,Umbul Sidomukti,Saloka Theme Park,Wisata Eling Bening,Saloka Theme Park,Wisata Eling Bening,Wisata Eling Bening
7715,Bandung,Museum Nike Ardilla,Gunung Tangkuban Perahu,Teras Cikapundung BBWS,Gunung Papandayan,Trans Studio Bandung,Gunung Papandayan,Trans Studio Bandung,Trans Studio Bandung
7716,Jakarta,Pasar Taman Puring,Tugu Proklamasi,Pasar Petak Sembilan,Taman Menteng,,Taman Menteng,,
7717,Yogyakarta,Galaxy Waterpark Jogja,Kampung Wisata Taman Sari,Nol Kilometer Jl.Malioboro,,,,,
7718,Jakarta,Taman Cattleya,Museum Satria Mandala,Plaza Indonesia,Taman Suropati,,Taman Suropati,,
7719,Semarang,Waduk Jatibarang,Wisata Eling Bening,Desa Wisata Lembah Kalipancur,,,,,
7720,Yogyakarta,Bukit Lintang Sewu,Tugu Pal Putih Jogja,Bukit Paralayang,,,,,
7721,Semarang,Taman Tabanas,Grand Maerakaca,Benteng Pendem,Taman Srigunting,,Taman Srigunting,,
7722,Surabaya,Taman Harmoni Keputih,Monumen Jalesveva Jayamahe,Monumen Bambu Runcing Surabaya,Gereja Perawan Maria Tak Berdosa Surabaya,,Gereja Perawan Maria Tak Berdosa Surabaya,,
7723,Semarang,Taman Pandanaran,Taman Srigunting,Wisata Alam Wana Wisata Penggaron,Durian Gardens and Tourism Education Watu Simbar,Grand Maerakaca,Durian Gardens and Tourism Education Watu Simbar,,
7724,Bandung,Taman Film,Glamping Lakeside Rancabali,Situ Patenggang,Orchid Forest Cikole,Museum Mandala Wangsit Siliwangi,Orchid Forest Cikole,Museum Mandala Wangsit Siliwangi,Museum Mandala Wangsit Siliwangi
7725,Surabaya,Waterpark Kenjeran Surabaya,Masjid Muhammad Cheng Hoo,Masjid Nasional Al-Akbar,Taman Flora Bratang Surabaya,,Taman Flora Bratang Surabaya,,
7726,Jakarta,Museum Seni Rupa dan Kramik,Hutan Kota Srengseng,Museum Bahari Jakarta,Wisata Agro Edukatif Istana Susu Cibugary,,Wisata Agro Edukatif Istana Susu Cibugary,,
7727,Surabaya,Taman Barunawati,Kebun Binatang Surabaya,Rumah Batik,Taman Barunawati,,Taman Barunawati,,
7728,Jakarta,Tugu Proklamasi,Gereja Katedral,Jembatan Kota Intan,Taman Suropati,,Taman Suropati,,
7729,Semarang,Museum Kereta Ambarawa,Jembatan Biru Ambarawa,Museum Kereta Ambarawa,Kampoeng Kopi Banaran,Kampoeng Djadhoel Semarang,Kampoeng Kopi Banaran,Kampoeng Djadhoel Semarang,Kampoeng Djadhoel Semarang
7730,Bandung,Tafso Barn,Taman Miniatur Kereta Api,Curug Batu Templek,Curug Tilu Leuwi Opat,| Peta Park,Curug Tilu Leuwi Opat,| Peta Park,| Peta Park
7731,Jakarta,Galeri Indonesia Kaya,Pulau Pelangi,Museum Layang-layang,Masjid Istiqlal,,Masjid Istiqlal,,
7732,Jakarta,Galeri Nasional Indonesia,Museum Sumpah Pemuda,Pulau Tidung,Jembatan Kota Intan,,Jembatan Kota Intan,,
7733,Surabaya,Food Junction Grand Pakuwon,Food Junction Grand Pakuwon,Keraton Surabaya,Atlantis Land Surabaya,,Atlantis Land Surabaya,,
7734,Surabaya,Food Junction Grand Pakuwon,Taman Barunawati,Taman Prestasi,Hutan Bambu Keputih,,Hutan Bambu Keputih,,
7735,Bandung,Monumen Bandung Lautan Api,Curug Luhur Waterfall,Taman Hutan Raya Ir. H. Djuanda,Curug Dago, Panama Park 825,Curug Dago, Panama Park 825, Panama Park 825
7736,Bandung,Curug Batu Templek,Museum Gedung Sate,Water Park Bandung Indah,Gunung Manglayang,Taman Begonia,Gunung Manglayang,Taman Begonia,Taman Begonia
7737,Jakarta,Perpustakaan Nasional,Bumi Perkemahan Cibubur,Gereja Katedral,Museum Taman Prasasti,,Museum Taman Prasasti,,
7738,Jakarta,Grand Indonesia Mall,Klenteng Jin De Yuan,Museum Satria Mandala,Museum Fatahillah,,Museum Fatahillah,,
7739,Bandung,Stone Garden Geopark,Museum Gedung Sate,Dago Dreampark,Stone Garden Geopark,Pesona Nirwana Waterpark & Cottages,Stone Garden Geopark,Pesona Nirwana Waterpark & Cottages,Pesona Nirwana Waterpark & Cottages
7740,Semarang,Kampung Batik Gedong Semarang,Monumen Palagan Ambarawa,Waduk Jatibarang,Taman Kasmaran,Taman Tabanas,Taman Kasmaran,Taman Tabanas,Taman Tabanas
7741,Surabaya,Ekowisata Mangrove Wonorejo,Masjid Kapal Semarang,Hutan Bambu Keputih,Monumen Bambu Runcing Surabaya,,Monumen Bambu Runcing Surabaya,,
7742,Yogyakarta,Tugu Pal Putih Jogja,Green Village Gedangsari,Taman Pelangi Jogja,,,,,
7743,Jakarta,Museum Sumpah Pemuda,Taman Impian Jaya Ancol,Gereja Katedral,Museum Macan (Modern and Contemporary Art in Nusantara),,Museum Macan (Modern and Contemporary Art in Nusantara),,
7744,Surabaya,Air Mancur Menari,Air Mancur Menari,Food Junction Grand Pakuwon,Museum Mpu Tantular,Masjid Muhammad Cheng Hoo,Museum Mpu Tantular,Masjid Muhammad Cheng Hoo,Masjid Muhammad Cheng Hoo
7745,Yogyakarta,Bukit Wisata Pulepayung,Pasar Kebon Empring Bintaran,Alun Alun Selatan Yogyakarta,,,,,
7746,Bandung,Museum Sri Baduga,Taman Kupu-Kupu Cihanjuang,Gereja Katedral Santo Petrus Bandung,Curug Malela,,Curug Malela,,
7747,Yogyakarta,Candi Ijo,Taman Pelangi Yogyakarta,Pantai Depok Jogja,Bendung Lepen,Pasar Kebon Empring Bintaran,Bendung Lepen,Pasar Kebon Empring Bintaran,Pasar Kebon Empring Bintaran
7748,Jakarta,Pulau Pelangi,Hutan Kota Srengseng,Perpustakaan Nasional,Wisata Kuliner Pecenongan,,Wisata Kuliner Pecenongan,,
7749,Semarang,Semarang Chinatown,Indonesia Kaya Park,Wisata Alam Wana Wisata Penggaron,Wisata Lereng Kelir,Kampung Batik Gedong Semarang,Wisata Lereng Kelir,Kampung Batik Gedong Semarang,Kampung Batik Gedong Semarang
7750,Surabaya,Patung Buddha Empat Rupa,Surabaya North Quay,Klenteng Sanggar Agung,Monumen Bambu Runcing Surabaya,Taman Buah Surabaya,Monumen Bambu Runcing Surabaya,Taman Buah Surabaya,Taman Buah Surabaya
7751,Surabaya,Hutan Pinus Kayon,Museum Sepuluh Nopember Kota Surabaya,Museum TNI AL Loka Jala Crana,Surabaya North Quay,,Surabaya North Quay,,
7752,Yogyakarta,Pantai Drini,Wisata Kaliurang,Monumen Serangan Umum 1 Maret,,,,,
7753,Bandung,Taman Lansia,Rainbow Garden,Taman Vanda,Lawangwangi Creative Space,Chingu Cafe Little Seoul,,Chingu Cafe Little Seoul,Chingu Cafe Little Seoul
7754,Semarang,Semarang Gallery,Benteng Pendem,Water Blaster Bukit Candi Golf,Pura Giri Natha,GPIB Immanuel Semarang (Gereja Blenduk),Pura Giri Natha,GPIB Immanuel Semarang (Gereja Blenduk),GPIB Immanuel Semarang (Gereja Blenduk)
7755,Surabaya,Monumen Bambu Runcing Surabaya,Jembatan Merah,Kebun Binatang Surabaya,,,,,
7756,Bandung,Curug Bugbrug,Taman Hutan Raya Ir. H. Djuanda,Gua Pawon,Stone Garden Geopark,Jendela Alam,Stone Garden Geopark,Jendela Alam,Jendela Alam
7757,Jakarta,Taman Lapangan Banteng,Pasar Taman Puring,Grand Indonesia Mall,Alive Museum Ancol,,Alive Museum Ancol,,
7758,Semarang,Semarang Chinatown,Taman Srigunting,Tugu Muda Semarang,Kota Lama Semarang,,Kota Lama Semarang,,
7759,Jakarta,Taman Ayodya,Museum Bank Indonesia,Museum Perangko,Museum Bahari Jakarta,,Museum Bahari Jakarta,,
7760,Jakarta,Museum Satria Mandala,Tugu Proklamasi,Taman Suropati,Pasar Taman Puring,Pasar Seni,Pasar Taman Puring,Pasar Seni,Pasar Seni
7761,Jakarta,Pulau Bidadari,Tugu Proklamasi,Ocean Ecopark,Museum Bahari Jakarta,,Museum Bahari Jakarta,,
7762,Surabaya,Kebun Bibit Wonorejo,Hutan Bambu Keputih,Taman Pelangi,Taman Pelangi,,Taman Pelangi,,
7763,Bandung,Curug Cipanas,Museum Pendidikan Nasional,Lembang Park & Zoo,Taman Lansia,Kyotoku Floating Market,Taman Lansia,Kyotoku Floating Market,Kyotoku Floating Market
7764,Bandung,Gunung Papandayan,Monumen Perjuangan Rakyat Jawa Barat,Alun-Alun Kota Bandung,Trans Studio Bandung,Curug Luhur Waterfall,Trans Studio Bandung,Curug Luhur Waterfall,Curug Luhur Waterfall
7765,Surabaya,Museum De Javasche Bank,Kenjeran Park,Waterpark Kenjeran Surabaya,Taman Barunawati,,Taman Barunawati,,
7766,Bandung,Taman Hutan Raya Ir. H. Djuanda,Curug Aseupan,Tafso Barn,Masjid Al-Imtizaj,Museum Pos Indonesia,Masjid Al-Imtizaj,Museum Pos Indonesia,Museum Pos Indonesia
7767,Jakarta,Pasar Seni,Museum Bahari Jakarta,Taman Spathodea,Plaza Indonesia,,Plaza Indonesia,,
7768,Bandung,Curug Batu Templek,Gereja Katedral Santo Petrus Bandung,Lawangwangi Creative Space,Kawah Putih,Museum Pendidikan Nasional,Kawah Putih,Museum Pendidikan Nasional,Museum Pendidikan Nasional
7769,Semarang,Kampung Pelangi,Monumen Palagan Ambarawa,Pantai Marina,Kota Lama Semarang,Saloka Theme Park,Kota Lama Semarang,Saloka Theme Park,Saloka Theme Park
7770,Jakarta,Museum Joang 45,Jembatan Kota Intan,Museum Nasional,Galeri Nasional Indonesia,Gereja Katedral,Galeri Nasional Indonesia,Gereja Katedral,Gereja Katedral
7771,Surabaya,Rumah Batik,Monumen Tugu Pahlawan,Museum Kesehatan Dr. Adhyatma,Ciputra Waterpark,,Ciputra Waterpark,,
7772,Yogyakarta,Monumen Sanapati,Pantai Patihan,Tebing Breksi,,,,,
7773,Bandung,Curug Anom,Tafso Barn,Kawah Putih,,,,,
7774,Bandung,Curug Cipanas,Bukit Jamur,Lawangwangi Creative Space,Curug Cipanas,Kawasan Punclut,Curug Cipanas,Kawasan Punclut,Kawasan Punclut
7775,Semarang,Wisata Mangrove Tapak,Air Terjun Semirang,Candi Gedong Songo,Tirto Argo Siwarak,Pantai Marina,Tirto Argo Siwarak,Pantai Marina,Pantai Marina
7776,Bandung,Trans Studio Bandung,Situ Patenggang,Taman Hutan Raya Ir. H. Djuanda,Museum Geologi Bandung,Kampung Korea Bandung,Museum Geologi Bandung,Kampung Korea Bandung,Kampung Korea Bandung
7777,Jakarta,Masjid Istiqlal,Museum Macan (Modern and Contemporary Art in Nusantara),Museum Perangko,Museum Sumpah Pemuda,,Museum Sumpah Pemuda,,
7778,Yogyakarta,Nol Kilometer Jl.Malioboro,Green Village Gedangsari,Green Village Gedangsari,,,,,
7779,Bandung,| Peta Park,Gua Pawon,Kiara Artha Park,,,,,
7780,Yogyakarta,The Lost World Castle,Pasar Kebon Empring Bintaran,Sindu Kusuma Edupark (SKE),,,,,
7781,Jakarta,Pulau Tidung,Jembatan Kota Intan,Museum Basoeki Abdullah,Museum Bahari Jakarta,,Museum Bahari Jakarta,,
7782,Semarang,Desa Wisata Lembah Kalipancur,Taman Tabanas,Semarang Gallery,Lawang Sewu,Water Blaster Bukit Candi Golf,Lawang Sewu,Water Blaster Bukit Candi Golf,Water Blaster Bukit Candi Golf
7783,Jakarta,Museum Bank Indonesia,Bumi Perkemahan Cibubur,Hutan Kota Srengseng,Museum Wayang,,Museum Wayang,,
7784,Semarang,Sam Poo Kong Temple,Pantai Cipta,Tirto Argo Siwarak,Gua Maria Kerep Ambarawa,Tirto Argo Siwarak,Gua Maria Kerep Ambarawa,Tirto Argo Siwarak,Tirto Argo Siwarak
7785,Bandung,Kyotoku Floating Market,Gunung Tangkuban Perahu,Water Park Bandung Indah,Gunung Tangkuban Perahu,Rainbow Garden,Gunung Tangkuban Perahu,Rainbow Garden,Rainbow Garden
7786,Jakarta,Taman Lapangan Banteng,Museum Basoeki Abdullah,Taman Cattleya,Museum Joang 45,,Museum Joang 45,,
7787,Semarang,Kampung Pelangi,Semarang Contemporary Art Gallery,Taman Pandanaran,Water Blaster Bukit Candi Golf,Indonesia Kaya Park,Water Blaster Bukit Candi Golf,Indonesia Kaya Park,Indonesia Kaya Park
7788,Surabaya,Taman Ekspresi Dan Perpustakaan,Hutan Bambu Keputih,Taman Flora Bratang Surabaya,Atlantis Land Surabaya,,Atlantis Land Surabaya,,
7789,Surabaya,Masjid Nasional Al-Akbar,Kenjeran Park,Klenteng Sanggar Agung,Klenteng Sanggar Agung,,Klenteng Sanggar Agung,,
7790,Surabaya,Monumen Bambu Runcing Surabaya,| Food Junction Grand Pakuwon,Museum Sepuluh Nopember Kota Surabaya,Monumen Kapal Selam,,Monumen Kapal Selam,,
7791,Surabaya,Food Junction Grand Pakuwon,Hutan Bambu Keputih,Surabaya North Quay,Museum Kesehatan Dr. Adhyatma,Taman Barunawati,Museum Kesehatan Dr. Adhyatma,Taman Barunawati,Taman Barunawati
7792,Bandung,Monumen Bandung Lautan Api,Taman Sejarah Bandung,Kyotoku Floating Market,Glamping Lakeside Rancabali,Museum Geologi Bandung,Glamping Lakeside Rancabali,Museum Geologi Bandung,Museum Geologi Bandung
7793,Semarang,Museum Kereta Ambarawa,Indonesia Kaya Park,Kota Lama Semarang,Museum Kereta Ambarawa,Obyek Wisata Goa Kreo,Museum Kereta Ambarawa,Obyek Wisata Goa Kreo,Obyek Wisata Goa Kreo
7794,Yogyakarta,Wisata Kalibiru,Pintoe Langit Dahromo,Bukit Paralayang,,,,,
7795,Jakarta,Museum Basoeki Abdullah,Waterboom PIK (Pantai Indah Kapuk),Museum Bahari Jakarta,SnowBay Waterpark,,SnowBay Waterpark,,
7796,Yogyakarta,Kawasan Malioboro,Candi Borobudur,Alun Alun Selatan Yogyakarta,,,,,
7797,Semarang,Old City 3D Trick Art Museum,Obyek Wisata Goa Kreo,Wisata Alam Wana Wisata Penggaron,Kampung Pelangi,Pura Giri Natha,Kampung Pelangi,Pura Giri Natha,Pura Giri Natha
7798,Surabaya,Monumen Bambu Runcing Surabaya,Monumen Jalesveva Jayamahe,Kampoeng Rawa,Klenteng Sanggar Agung,,Klenteng Sanggar Agung,,
7799,Yogyakarta,Pantai Parangtritis,Seribu Batu Songgo Langit,Pantai Depok Jogja,,,,,
7800,Yogyakarta,Alun Alun Selatan Yogyakarta,Watu Goyang,Hutan Mangrove Kulon Progo,Wisata Kalibiru,,Wisata Kalibiru,,
7801,Jakarta,Pasar Taman Puring,Pulau Pelangi,Jakarta Aquarium dan Safari,Pasar Petak Sembilan,,Pasar Petak Sembilan,,
7802,Semarang,Taman Kasmaran,GPIB Immanuel Semarang (Gereja Blenduk),Masjid Agung Ungaran,Wisata Eling Bening,Kota Lama Semarang,Wisata Eling Bening,Kota Lama Semarang,Kota Lama Semarang
7803,Jakarta,Pulau Pari,Museum Fatahillah,Klenteng Jin De Yuan,Taman Ayodya,Galeri Indonesia Kaya,Taman Ayodya,Galeri Indonesia Kaya,Galeri Indonesia Kaya
7804,Yogyakarta,Pantai Ngrenehan,Galaxy Waterpark Jogja,Lava Bantal,,,,,
7805,Bandung,Teras Cikapundung BBWS,Gereja Katedral Santo Petrus Bandung,Gereja Katedral Santo Petrus Bandung,Curug Malela,Taman Kupu-Kupu Cihanjuang,Curug Malela,Taman Kupu-Kupu Cihanjuang,Taman Kupu-Kupu Cihanjuang
7806,Jakarta,Museum Layang-layang,Taman Impian Jaya Ancol,Taman Agrowisata Cilangkap,Museum Joang 45,,Museum Joang 45,,
7807,Bandung,Curug Dago,Taman Kupu-Kupu Cihanjuang,Gunung Tangkuban Perahu,Mountain View Golf Club,Sudut Pandang Bandung,Mountain View Golf Club,Sudut Pandang Bandung,Sudut Pandang Bandung
7808,Bandung,Curug Luhur Waterfall,Taman Lansia,Taman Balai Kota Bandung,Tebing Karaton,,Tebing Karaton,,
7809,Bandung,Curug Anom,Pesona Nirwana Waterpark & Cottages,Dago Dreampark,,,,,
7810,Bandung,Kawah Putih,Roemah Seni Sarasvati,Glamping Lakeside Rancabali,Museum Pendidikan Nasional,,Museum Pendidikan Nasional,,
7811,Jakarta,Tugu Proklamasi,Perpustakaan Nasional,Pulau Bidadari,Pulau Pari,,Pulau Pari,,
7812,Semarang,Desa Wisata Lembah Kalipancur,Pantai Cipta,Wisata Alam Wana Wisata Penggaron,Saloka Theme Park,Monumen Palagan Ambarawa,Saloka Theme Park,Monumen Palagan Ambarawa,Monumen Palagan Ambarawa
7813,Semarang,Old City 3D Trick Art Museum,Tugu Muda Semarang,Museum Kereta Ambarawa,Semarang Gallery,Wisata Alam Wana Wisata Penggaron,Semarang Gallery,Wisata Alam Wana Wisata Penggaron,Wisata Alam Wana Wisata Penggaron
7814,Semarang,Kota Lama Semarang,Monumen Palagan Ambarawa,Indonesia Kaya Park,Kota Lama Semarang,Waduk Jatibarang,Kota Lama Semarang,Waduk Jatibarang,Waduk Jatibarang
7815,Surabaya,Jembatan Merah,Taman Keputran,Taman Mundu,Monumen Tugu Pahlawan,,Monumen Tugu Pahlawan,,
7816,Surabaya,Monumen Bambu Runcing Surabaya,Taman Barunawati,Kebun Binatang Surabaya,Hutan Pinus Kayon,,Hutan Pinus Kayon,,
7817,Surabaya,Museum TNI AL Loka Jala Crana,House of Sampoerna,Klenteng Sanggar Agung,Monumen Bambu Runcing Surabaya,,Monumen Bambu Runcing Surabaya,,
7818,Yogyakarta,Pantai Glagah,Watu Mabur Mangunan,Wisata Kaliurang,,,,,
7819,Bandung,Bukit Jamur,Gunung Manglayang,Curug Bugbrug,Kampung Korea Bandung,Curug Tilu Leuwi Opat,Kampung Korea Bandung,Curug Tilu Leuwi Opat,Curug Tilu Leuwi Opat
7820,Jakarta,Hutan Kota Srengseng,Taman Suropati,Museum Tekstil,Pulau Bidadari,,Pulau Bidadari,,
7821,Semarang, Pantai Cipta,Jembatan Biru Ambarawa,Kota Lama Semarang,Masjid Agung Ungaran,Benteng Pendem,Masjid Agung Ungaran,Benteng Pendem,Benteng Pendem
7822,Surabaya,Monumen Kapal Selam,Museum Mpu Tantular,Klenteng Sanggar Agung,,,,,
7823,Semarang,Wisata Mangrove Tapak,Sam Poo Kong Temple,Flower Farm Setiya Aji,Pantai Baruna,Obyek Wisata Goa Kreo,Pantai Baruna,Obyek Wisata Goa Kreo,Obyek Wisata Goa Kreo
7824,Surabaya,Rumah Batik,Taman Kunang-Kunang,Ekowisata Mangrove Wonorejo,Balai Kota Surabaya,Pantai Ria Kenjeran,Balai Kota Surabaya,Pantai Ria Kenjeran,Pantai Ria Kenjeran
7825,Surabaya,Surabaya North Quay,Masjid Nasional Al-Akbar,Kebun Bibit Wonorejo,Museum TNI AL Loka Jala Crana,,Museum TNI AL Loka Jala Crana,,
7826,Surabaya,Kenjeran Park,Monumen Kapal Selam,| Food Junction Grand Pakuwon,Balai Kota Surabaya,,Balai Kota Surabaya,,
7827,Jakarta,Pasar Tanah Abang,Taman Menteng,Monas,Perpustakaan Nasional,,Perpustakaan Nasional,,
7828,Yogyakarta,Pantai Ngrenehan,Taman Situ Lembang,Pantai Glagah,,,,,
7829,Bandung,Curug Luhur Waterfall,Kota Mini,Monumen Perjuangan Rakyat Jawa Barat,Mountain View Golf Club,Roemah Seni Sarasvati,Mountain View Golf Club,Roemah Seni Sarasvati,Roemah Seni Sarasvati
7830,Bandung,Sudut Pandang Bandung,Masjid Raya Bandung,Tebing Karaton,Teras Cikapundung BBWS,Taman Miniatur Kereta Api,Teras Cikapundung BBWS,Taman Miniatur Kereta Api,Taman Miniatur Kereta Api
7831,Semarang,Kampung Pelangi,Pantai Baruna,Kampoeng Djadhoel Semarang,,,,,
7832,Semarang,Brown Canyon,Wisata Eling Bening,Kampung Batik Gedong Semarang,,,,,
7833,Yogyakarta,Bendung Lepen,Candi Borobudur,Pantai Parangtritis,,,,,
7834,Jakarta,Masjid Istiqlal,SnowBay Waterpark,Museum Nasional,Bumi Perkemahan Cibubur,Museum Seni Rupa dan Kramik,Bumi Perkemahan Cibubur,Museum Seni Rupa dan Kramik,Museum Seni Rupa dan Kramik
7835,Surabaya,Pantai Ria Kenjeran,Museum Sepuluh Nopember Kota Surabaya,Patung Sura dan Buaya,Taman Flora Bratang Surabaya,Ekowisata Mangrove Wonorejo,Taman Flora Bratang Surabaya,Ekowisata Mangrove Wonorejo,Ekowisata Mangrove Wonorejo
7836,Jakarta,SnowBay Waterpark,Museum Seni Rupa dan Kramik,Museum Tekstil,Grand Indonesia Mall,,Grand Indonesia Mall,,
7837,Bandung,Curug Cipanas,Glamping Lakeside Rancabali,Stone Garden Geopark,Gunung Tangkuban Perahu,Kawasan Punclut,Gunung Tangkuban Perahu,Kawasan Punclut,Kawasan Punclut
7838,Surabaya,Taman Harmoni Keputih,Patung Sura dan Buaya,Hutan Bambu Keputih,Monumen Kapal Selam,,Monumen Kapal Selam,,
7839,Bandung,Kiara Artha Park,Orchid Forest Cikole,Dago Dreampark,,,,,
7840,Surabaya,Monumen Bambu Runcing Surabaya,Taman Mundu,Ciputra Waterpark,Air Mancur Menari,,Air Mancur Menari,,
7841,Semarang,Pantai Cipta,GPIB Immanuel Semarang (Gereja Blenduk),Waduk Jatibarang,,,,,
7842,Yogyakarta,Embung Tambakboyo,Gembira Loka Zoo,The Lost World Castle,,,,,
7843,Yogyakarta,De Mata Museum Jogja,Wisata Kaliurang,Galaxy Waterpark Jogja,Kauman Pakualaman Yogyakarta,Pantai Nguluran,Kauman Pakualaman Yogyakarta,Pantai Nguluran,Pantai Nguluran
7844,Semarang,Monumen Palagan Ambarawa,Watu Gunung Ungaran,Saloka Theme Park,,,,,
7845,Jakarta,Museum Wayang,Ocean Ecopark,Museum Perangko,Monas,,Monas,,
7846,Surabaya,Kebun Binatang Surabaya,Food Junction Grand Pakuwon,Taman Mundu,Taman Barunawati,,Taman Barunawati,,
7847,Semarang,Obyek Wisata Goa Kreo,Monumen Palagan Ambarawa,Hutan Wisata Tinjomoyo Semarang,Wisata Eling Bening,Benteng Pendem,Wisata Eling Bening,Benteng Pendem,Benteng Pendem
7848,Jakarta,Waterboom PIK (Pantai Indah Kapuk),Hutan Kota Srengseng,Taman Ayodya,Perpustakaan Nasional,,Perpustakaan Nasional,,
7849,Surabaya,Taman Air Mancur Menari Kenjeran,Taman Harmoni Keputih,Patung Buddha Empat Rupa,Taman Harmoni Keputih,,Taman Harmoni Keputih,,
7850,Jakarta,Taman Mini Indonesia Indah (TMII),Kota Tua,Pasar Petak Sembilan,Museum Satria Mandala,,Museum Satria Mandala,,
7851,Surabaya,Kenjeran Park,Hutan Pinus Kayon,Taman Mundu,Taman Harmoni Keputih,,Taman Harmoni Keputih,,
7852,Semarang,Taman Pandanaran,Taman Srigunting,Kota Lama Semarang,Monumen Palagan Ambarawa,Wisata Eling Bening,Monumen Palagan Ambarawa,Wisata Eling Bening,Wisata Eling Bening
7853,Surabaya,Rumah Batik,Patung Sura dan Buaya,Monumen Kapal Selam,,,,,
7854,Surabaya,Patung Buddha Empat Rupa,Taman Keputran,Monumen Jalesveva Jayamahe,House of Sampoerna,,House of Sampoerna,,
7855,Yogyakarta,Watu Goyang,Pantai Patihan,Seribu Batu Songgo Langit,Taman Pelangi Yogyakarta,,Taman Pelangi Yogyakarta,,
7856,Semarang,Kampung Batik Gedong Semarang,Wisata Eling Bening,Gua Maria Kerep Ambarawa,Wisata Alam Wana Wisata Penggaron,Museum Kereta Ambarawa,Wisata Alam Wana Wisata Penggaron,Museum Kereta Ambarawa,Museum Kereta Ambarawa
7857,Semarang,Indonesia Kaya Park,Museum Kereta Ambarawa,Lawang Sewu,La Kana Chapel,Taman Pandanaran,La Kana Chapel,Taman Pandanaran,Taman Pandanaran
7858,Yogyakarta,Bentara Budaya Yogyakarta (BBY),Seribu Batu Songgo Langit,Puncak Gunung Api Purba - Nglanggeran,Kebun Teh Nglinggo,Puncak Gunung Api Purba - Nglanggeran,Kebun Teh Nglinggo,Puncak Gunung Api Purba - Nglanggeran,Puncak Gunung Api Purba - Nglanggeran
7859,Yogyakarta,Pantai Samas,Kebun Teh Nglinggo,Taman Situ Lembang,,,,,
7860,Yogyakarta,Bunker Kaliadem Merapi,Candi Borobudur,Kampung Wisata Kadipaten,Wisata Kalibiru,,Wisata Kalibiru,,
7861,Jakarta,Taman Suropati,Taman Spathodea,Pulau Bidadari,Ocean Ecopark,,Ocean Ecopark,,
7862,Jakarta,Wisata Agro Edukatif Istana Susu Cibugary,Taman Cattleya,Museum Perangko,Grand Indonesia Mall,,Grand Indonesia Mall,,
